date_time,open,high,low,close,CCI
2017-01-16 14:15,22710.86,22747.84,22657.35,22731.17,-104.73319961496266
2017-01-16 15:15,22732.31,22737.06,22709.64,22718.15,-99.57467089188516
2017-01-17 09:15,22819.87,22819.87,22710.93,22740.68,-74.4425878293768
2017-01-17 10:15,22741.09,22832.88,22731.66,22806.83,-49.933431438463856
2017-01-17 11:15,22809.73,22820.37,22792.98,22817.42,-30.774033926295097
2017-01-17 12:15,22810.38,22818.18,22797.72,22801.28,-31.81520426910832
2017-01-17 13:15,22801.28,22850.01,22786.55,22831.22,-15.059667412656704
2017-01-17 14:15,22831.45,22849.79,22816.82,22844.32,-0.6761372349394529
2017-01-17 15:15,22844.97,22867.84,22837.44,22840.97,11.838727600631161
2017-01-18 09:15,22889.33,23096.09,22882.02,23075.32,157.56467797260026
2017-01-18 10:15,23092.92,23151.75,23067.38,23086.27,207.76584274327575
2017-01-18 11:15,23085.44,23108.92,23081.91,23101.4,185.58018327083187
2017-01-18 12:15,23098.05,23134.76,23092.4,23120.52,180.63861346034363
2017-01-18 13:15,23121.36,23146.87,23091.81,23099.67,159.19173871839993
2017-01-18 14:15,23100.17,23127.99,23088.96,23104.08,139.0160167975959
2017-01-18 15:15,23103.94,23121.07,23088.32,23098.26,123.65214711257345
2017-01-19 09:15,23104.35,23104.35,22999.12,23031.14,84.81443122116826
2017-01-19 10:15,23028.6,23035.47,22965.95,22976.97,52.70373710546082
2017-01-19 11:15,22977.08,22991.13,22948.33,22961.99,37.12244916303527
2017-01-19 12:15,22958.54,22978.08,22941.96,22942.17,29.490096682689398
2017-01-19 13:15,22942.17,23005.75,22942.17,22966.84,37.943867815857885
2017-01-19 14:15,22969.49,23011.82,22964.45,23007.17,48.1822459457356
2017-01-19 15:15,23007.17,23049.96,22994.93,23049.96,64.19338496729091
2017-01-20 09:15,22966.53,22971.92,22872.65,22874.67,0.39469456909363354
2017-01-20 10:15,22874.67,22919.98,22858.25,22902.19,-5.632171537800286
2017-01-20 11:15,22902.57,22919.89,22886.61,22907.86,-1.8502619485106648
2017-01-20 12:15,22909.97,22914.59,22887.8,22901.19,-7.069815846817661
2017-01-20 13:15,22902.02,22924.16,22886.89,22912.05,-7.754602360472831
2017-01-20 14:15,22911.83,22987.68,22908.52,22933.29,8.51677227338032
2017-01-20 15:15,22932.49,22937.38,22885.91,22885.91,-21.65902770907529
2017-01-23 09:15,22926.3,23056.31,22908.6,23038.25,38.82635631444885
